Date,Open,High,Low,Close,Adj Close,Volume
"August 17, 2026",490.22,492.66,481.67,485.16,485.16,9806161
"August 14, 2026",496.36,500.01,493.92,495.4,495.4,16205200
"August 13, 2026",493.27,501.34,493.01,496.88,496.88,23039000
"August 12, 2026",499.99,501.5,491.52,492.43,492.43,29001500
"August 11, 2026",504.33,505.33,499.55,503.81,503.81,23049800
"August 10, 2026",503.44,513.73,502.27,506.06,506.06,31206100
"August 07, 2026",499.21,505.18,498.73,499.99,499.99,28846200
"August 06, 2026",488.55,501.56,488.52,499.86,499.96,36441500
"August 05, 2026",496.36,498.24,485.68,487.46,48746.0,33388900
"August 04, 2026",480.9,499.44,479.17,492.31,492.81,50455500
"August 03, 2026",476.13,491.65,475.0,487.65,487.65,66762100
"July 31, 2026",450.0,466.84,449.33,464.72,46472.0,60846000
"July 30, 2026",437.9,458.69,432.44,451.1,45110.0,110160700
"July 29, 2026",393.4,401.25,388.74,390.54,390.54,47209000
"July 28, 2026",393.16,400.32,391.3,393.35,393.35,32387500
"July 27, 2026",390.08,394.2,387.99,389.1,389.1,27856200
"July 24, 2026",387.05,389.03,380.65,381.7,381.7,27659400
"July 23, 2026",389.97,391.78,377.39,381.58,381.58,30351800
"July 22, 2026",399.58,401.0,386.96,390.34,390.34,28142500
"July 21, 2026",398.81,401.47,396.32,397.75,397.75,24126600
"July 20, 2026",391.41,403.18,389.65,402.29,402.29,27915800
"July 17, 2026",394.86,398.39,389.39,393.82,393.82,33049800
"July 16, 2026",398.31,405.99,392.05,401.1,40110.0,37047400
"July 15, 2026",387.8,398.96,386.4,395.63,395.63,36253700
"July 14, 2026",382.82,388.19,378.65,384.93,384.93,27863900
"July 13, 2026",387.75,393.65,384.15,390.99,390.99,28914900
"July 10, 2026",387.8,391.91,381.5,385.1,385.1,24644600
"July 09, 2026",374.45,384.65,373.35,384.36,384.36,31083200
"July 08, 2026",384.03,385.31,381.33,383.34,383.34,25908300
"July 07, 2026",392.49,395.57,388.22,388.84,388.84,29297500
"July 06, 2026",387.04,389.15,381.22,386.74,386.74,34224500
"July 02, 2026",384.48,392.2,383.7,390.49,390.49,42128900
"July 01, 2026",380.83,388.83,374.89,384.28,384.28,48065800
"June 30, 2026",371.03,37415.0,367.45,373.02,373.02,44945700
"June 29, 2026",377.5,380.5,359.9,368.57,368.57,51229900
"June 26, 2026",357.15,376.61,355.43,372.97,372.97,186201600
"June 25, 2026",362.77,364.23,349.2,352.83,352.83,66179000
"June 24, 2026",371.57,378.88,364.78,365.46,365.46,44509900
"June 23, 2026",372.38,377.22,370.67,373.94,373.94,40647600
"June 22, 2026",375.74,381.63,367.07,367.34,367.34,45171100
"June 18, 2026",377.82,381.37,373.28,379.4,379.4,59714200
"June 17, 2026",390.25,390.37,377.32,378.91,378.91,41987800
"June 16, 2026",395.79,396.84,390.69,393.83,393.83,31506800
"June 15, 2026",396.8,401.75,392.85,399.76,39976.0,32266400
"June 12, 2026",391.43,391.74,382.27,390.74,390.74,34865800
"June 11, 2026",395.21,396.85,384.0,390.34,390.34,47224100
"June 10, 2026",398.55,405.04,397.16,397.36,397.36,32576000
"June 09, 2026",409.03,411.98,398.48,403.41,403.41,35317300
"June 08, 2026",414.14,417.16,408.56,411.74,411.74,32086700
"June 05, 2026",428.34,429.47,414.4,416.67,416.67,34782200
"June 04, 2026",435.81,436.15,426.41,428.05,428.05,26899500
"June 03, 2026",438.45,440.39,424.25,427.34,427.34,39037000
"June 02, 2026",446.88,453.5,440.43,441.31,441.31,37036800
"June 01, 2026",464.84,466.32,458.27,460.52,460.52,53628900
"May 29, 2026",432.55,450.33,432.36,450.24,450.24,79654400
"May 28, 2026",412.98,429.49,412.67,426.99,426.99,47250500
"May 27, 2026",411.01,415.94,409.58,412.67,412.67,28901500
"May 26, 2026",416.43,419.77,413.02,416.03,416.03,30398000
"May 22, 2026",419.54,424.4,416.33,418.57,418.57,22390300
"May 21, 2026",424.75,426.34,415.71,419.09,419.09,31393500
"May 20, 2026",414.17,4272.1,411.3,421.06,420.15,27864000
"May 19, 2026",429.9,432.7,416.49,417.42,416.52,33018700
"May 18, 2026",416.62,425.12,415.61,423.54,422.62,32564100
"May 15, 2026",414.27,428.17,412.91,421.92,421.01,50771200
"May 14, 2026",404.48,411.84,400.88,409.43,408.55,27077500
"May 13, 2026",403.2,406.31,401.03,405.21,404.33,29667100
"May 12, 2026",414.48,415.5,406.64,407.77,406.89,38594200
"May 11, 2026",407.87,412.69,405.5,412.66,411.77,35657900
"May 08, 2026",417.39,418.63,414.0,415.12,414.22,33383800
"May 07, 2026",420.11,427.98,418.76,420.77,419.86,34942400
"May 06, 2026",408.0,418.42,405.11,413.96,413.07,30295900
"May 05, 2026",415.32,416.78,408.8,411.38,410.49,25700900
"May 04, 2026",411.54,420.78,410.8,413.62,412.73,28066500
"May 01, 2026",412.8,417.11,410.44,414.44,413.54,31372400
"April 30, 2026",410.81,414.42,398.01,407.78,406.9,70909400
"April 29, 2026",424.58,426.82,420.29,424.46,423.54,38288300
"April 28, 2026",424.57,429.92,421.9,429.25,428.32,30438100
"April 27, 2026",422.38,427.1,417.07,424.82,423.9,30867300
"April 24, 2026",416.97,424.95,415.8,424.62,423.7,27457400
"April 23, 2026",419.89,423.66,411.41,415.75,414.85,38308000
"April 22, 2026",426.19,433.7,423.67,432.92,431.98,29378200
"April 21, 2026",420.24,42718.0,417.2,424.16,423.24,32048500
